timestamp,arrivalTime,ueAppAddress,ueAppPort,car,recv_packet_size(B),uplink_delay(s),Queueing_delay(s),processing_delay(s),idframe,nbSentMsg
3.6715010168,3.6715010168,10.0.1.32,4009,car[0],2000,0.0004997324,0,0.002,244,243
3.676002984,3.676002984,10.0.1.144,4009,car[2],2000,0.0000016996,0,0.002,245,244
3.6760046912,3.6760046912,10.0.2.168,4009,car[7],2000,0.0000016996,0,0.002,245,244
3.6760063984,3.6760063984,10.0.6.253,4009,car[19],2000,0.0000016996,0,0.002,45,44
3.676502984,3.676502984,10.0.1.88,4009,car[1],2000,0.0000016996,0,0.002,245,244
3.6765046912,3.6765046912,10.0.1.200,4009,car[3],2000,0.0000016996,0,0.002,245,244
3.6765063984,3.6765063984,10.0.3.24,4009,car[9],2000,0.0000016996,0,0.002,245,244
3.677002984,3.677002984,10.0.2.56,4009,car[5],2000,0.0000016996,0,0.002,245,244
3.6770046912,3.6770046912,10.0.3.192,4009,car[12],2000,0.0000016996,0,0.002,245,244
3.677502984,3.677502984,10.0.2.0,4009,car[4],2000,0.0000016996,0,0.002,245,244
3.678502984,3.678502984,10.0.4.216,4009,car[17],2000,0.0000016996,0,0.002,245,233
3.679002984,3.679002984,10.0.3.248,4009,car[13],2000,0.0000016996,0,0.002,245,244
3.6790046912,3.6790046912,10.0.4.104,4009,car[15],2000,0.0000016996,0,0.002,245,244
3.6790063984,3.6790063984,10.0.4.160,4009,car[16],2000,0.0000016996,0,0.002,245,244
3.6795010168,3.6795010168,10.0.2.112,4009,car[6],2000,0.0014997324,0,0.002,245,244
3.6800010168,3.6800010168,10.0.4.48,4009,car[14],2000,0.0004992596,0,0.002,245,244
3.6810010168,3.6810010168,10.0.3.80,4009,car[10],2000,0.0004997324,0,0.002,245,244
3.6810034568,3.6810034568,10.0.3.136,4009,car[11],2000,0.0000016996,0,0.002,245,244
3.681502984,3.681502984,10.0.5.16,4009,car[18],2000,0.0000016996,0,0.002,245,244
3.682002984,3.682002984,10.0.1.32,4009,car[0],2000,0.0000016996,0,0.002,245,244
3.683002984,3.683002984,10.0.2.224,4009,car[8],2000,0.0000016996,0,0.002,245,244
3.686002984,3.686002984,10.0.1.144,4009,car[2],2000,0.0000016996,0,0.002,246,245
3.6860046912,3.6860046912,10.0.2.168,4009,car[7],2000,0.0000016996,0,0.002,246,245
3.6860063984,3.6860063984,10.0.6.253,4009,car[19],2000,0.0000016996,0,0.002,46,45
3.686502984,3.686502984,10.0.1.88,4009,car[1],2000,0.0000016996,0,0.002,246,245
