timestamp,idFrame,downlink_delay(s),deviceSimbolicAppAddress_,speed,roadID,AppName,ueAppPort,nbRcvMsg, from,nb_neighbor
1.2805,1,0.0024967144,car[13],traciVehicle->getSpeed(),10425130,test,4009,24,car[1],5
1.2805,1,0.0024950648,car[13],traciVehicle->getSpeed(),10425130,test,4009,25,car[2],5
1.2805,1,0.0024932424,car[13],traciVehicle->getSpeed(),10425130,test,4009,26,car[5],5
1.2805,1,0.0024966568,car[18],traciVehicle->getSpeed(),4006684,test,4009,16,car[1],3
1.2805,1,0.0024950072,car[18],traciVehicle->getSpeed(),4006684,test,4009,17,car[2],3
1.281,5,0.0024968296,car[3],traciVehicle->getSpeed(),-4006740,test,4009,114068036,pong,0
1.281,1,0.002493888,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195194,car[7],4
1.281,5,0.0024937728,car[7],traciVehicle->getSpeed(),25472299,test,4009,13,pong,2
1.281,1,0.0024938304,car[9],traciVehicle->getSpeed(),4006691,test,4009,21,car[7],4
1.2815,5,0.0024986816,car[4],traciVehicle->getSpeed(),4900739#1,test,4009,1251184427,pong,2
1.2815,1,0.0024987968,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195193,car[4],4
1.2815,1,0.0024987392,car[9],traciVehicle->getSpeed(),4006691,test,4009,22,car[4],4
1.2815,5,0.0024950072,car[12],traciVehicle->getSpeed(),4047378,test,4009,12,pong,2
1.2815,1,0.0024951224,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,16,car[12],3
1.2815,1,0.0024950648,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690256,car[12],3
1.282,1,0.0024963856,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537862,car[11],4
1.282,5,0.0024967144,car[6],traciVehicle->getSpeed(),4006702#2,test,4009,12,pong,2
1.282,5,0.0024962704,car[11],traciVehicle->getSpeed(),37591481,test,4009,13,pong,2
1.282,1,0.0024968296,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,17,car[6],3
1.282,1,0.002496328,car[15],traciVehicle->getSpeed(),-113939241,test,4009,8,car[11],1
1.282,1,0.002496772,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690255,car[6],3
1.2825,1,0.0024955952,car[4],traciVehicle->getSpeed(),4900739#1,test,4009,1251184428,car[9],2
1.2825,1,0.0024955376,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195192,car[9],4
1.2825,1,0.00249548,car[7],traciVehicle->getSpeed(),25472299,test,4009,14,car[9],2
1.2825,5,0.0024953648,car[9],traciVehicle->getSpeed(),4006691,test,4009,23,pong,4
1.2825,1,0.0024954224,car[13],traciVehicle->getSpeed(),10425130,test,4009,27,car[9],5
1.283,1,0.0024968296,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537863,car[13],4
1.283,1,0.0024951224,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537864,car[18],4
1.283,1,0.002496772,car[2],traciVehicle->getSpeed(),4006683,test,4009,18,car[13],3
1.283,1,0.0024950648,car[2],traciVehicle->getSpeed(),4006683,test,4009,19,car[18],3
1.283,1,0.0024967144,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195191,car[13],4
1.283,1,0.0024966568,car[9],traciVehicle->getSpeed(),4006691,test,4009,24,car[13],4
1.283,5,0.0024965416,car[13],traciVehicle->getSpeed(),10425130,test,4009,28,pong,5
1.283,1,0.0024950072,car[13],traciVehicle->getSpeed(),10425130,test,4009,29,car[18],5
1.283,1,0.0024965992,car[18],traciVehicle->getSpeed(),4006684,test,4009,18,car[13],3
1.283,5,0.0024949496,car[18],traciVehicle->getSpeed(),4006684,test,4009,19,pong,3
1.2835,1,0.0024968296,car[11],traciVehicle->getSpeed(),37591481,test,4009,14,car[15],2
1.2835,5,0.002496772,car[15],traciVehicle->getSpeed(),-113939241,test,4009,9,pong,1
1.284,5,0.0024987392,car[8],traciVehicle->getSpeed(),-5445204#2,test,4009,8,pong,1
1.284,1,0.0024963568,car[8],traciVehicle->getSpeed(),-5445204#2,test,4009,9,car[16],1
1.284,1,0.0024987968,car[16],traciVehicle->getSpeed(),30405358#1,test,4009,8,car[8],1
1.284,5,0.0024962992,car[16],traciVehicle->getSpeed(),30405358#1,test,4009,9,pong,1
1.2845,1,0.0024968296,car[6],traciVehicle->getSpeed(),4006702#2,test,4009,13,car[14],2
1.2845,1,0.002496772,car[12],traciVehicle->getSpeed(),4047378,test,4009,13,car[14],2
1.2845,5,0.0024966568,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,18,pong,3
1.2845,1,0.0024967144,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690254,car[14],3
1.286,1,0.0024968296,car[6],traciVehicle->getSpeed(),4006702#2,test,4009,14,car[17],2
1.286,1,0.002496772,car[12],traciVehicle->getSpeed(),4047378,test,4009,14,car[17],2
1.286,1,0.0024967144,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,19,car[17],3
1.286,5,0.0024966568,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690253,pong,3
1.287,5,0.0024987968,car[0],traciVehicle->getSpeed(),30405358#0,test,4009,4,pong,0
1.2875,5,0.0024968296,car[10],traciVehicle->getSpeed(),4006705#1,test,4009,4,pong,0
1.2905,6,0.0024965992,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537865,pong,4
1.2905,1,0.0024951224,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537866,car[2],4
1.2905,1,0.0024968296,car[2],traciVehicle->getSpeed(),4006683,test,4009,20,car[1],3
1.2905,6,0.0024949496,car[2],traciVehicle->getSpeed(),4006683,test,4009,21,pong,3
1.2905,1,0.0024934152,car[4],traciVehicle->getSpeed(),4900739#1,test,4009,1251184429,car[5],2
1.2905,6,0.0024931848,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195190,pong,4
1.2905,1,0.0024933576,car[7],traciVehicle->getSpeed(),25472299,test,4009,15,car[5],2
1.2905,1,0.0024933,car[9],traciVehicle->getSpeed(),4006691,test,4009,25,car[5],4
1.2905,1,0.002496772,car[11],traciVehicle->getSpeed(),37591481,test,4009,15,car[1],2
1.2905,1,0.0024967144,car[13],traciVehicle->getSpeed(),10425130,test,4009,30,car[1],5
1.2905,1,0.0024950648,car[13],traciVehicle->getSpeed(),10425130,test,4009,31,car[2],5
1.2905,1,0.0024932424,car[13],traciVehicle->getSpeed(),10425130,test,4009,32,car[5],5
1.2905,1,0.0024966568,car[18],traciVehicle->getSpeed(),4006684,test,4009,20,car[1],3
1.2905,1,0.0024950072,car[18],traciVehicle->getSpeed(),4006684,test,4009,21,car[2],3
1.291,6,0.0024968296,car[3],traciVehicle->getSpeed(),-4006740,test,4009,114068037,pong,0
1.291,1,0.002493888,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195189,car[7],4
1.291,6,0.0024937728,car[7],traciVehicle->getSpeed(),25472299,test,4009,16,pong,2
1.291,1,0.0024938304,car[9],traciVehicle->getSpeed(),4006691,test,4009,26,car[7],4
1.2915,6,0.0024986816,car[4],traciVehicle->getSpeed(),4900739#1,test,4009,1251184430,pong,2
1.2915,1,0.0024987968,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195188,car[4],4
1.2915,1,0.0024987392,car[9],traciVehicle->getSpeed(),4006691,test,4009,27,car[4],4
1.2915,6,0.0024950072,car[12],traciVehicle->getSpeed(),4047378,test,4009,15,pong,2
1.2915,1,0.0024951224,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,20,car[12],3
1.2915,1,0.0024950648,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690252,car[12],3
1.292,1,0.0024963856,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537867,car[11],4
1.292,6,0.0024967144,car[6],traciVehicle->getSpeed(),4006702#2,test,4009,15,pong,2
1.292,6,0.0024962704,car[11],traciVehicle->getSpeed(),37591481,test,4009,16,pong,2
1.292,1,0.0024968296,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,21,car[6],3
1.292,1,0.002496328,car[15],traciVehicle->getSpeed(),-113939241,test,4009,10,car[11],1
1.292,1,0.002496772,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690251,car[6],3
1.2925,1,0.0024968296,car[4],traciVehicle->getSpeed(),4900739#1,test,4009,1251184431,car[9],2
1.2925,1,0.002496772,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195187,car[9],4
1.2925,1,0.0024967144,car[7],traciVehicle->getSpeed(),25472299,test,4009,17,car[9],2
1.2925,6,0.0024965992,car[9],traciVehicle->getSpeed(),4006691,test,4009,28,pong,4
1.2925,1,0.0024966568,car[13],traciVehicle->getSpeed(),10425130,test,4009,33,car[9],5
1.293,1,0.0024968296,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537868,car[13],4
